Player ID,Player,Team,Rounds Played,KD,Rating,,,,,,,,,,,,,
1,Demon1,EG,459,1.39,1.23,,,,,,,,,,,,,
2,keznit,KR†,90,1.13,1.19,,,,,,,,,,,,,
3,Leo,FNC,270,1.37,1.17,,,,Max,Min,Standard Deviation,,,,Scaled Data,Rounds Played,KD,Rating
4,Alfajer,FNC,270,1.39,1.17,,,Rounds Played,515,79,132.0946039,,,,,3.474782364,7.541871224,8.654413813
5,Less,LOUD,515,1.21,1.16,,,KD,1.39,0.48,0.184304393,,,,,0.681329875,6.131161499,8.372969461
6,AAAAY,FPX,85,1.33,1.15,,,Rating,1.23,0.51,0.142124011,,,,,2.043989626,7.433355091,8.232247285
7,aspas,LOUD,515,1.26,1.15,,,,,,,,,,,2.043989626,7.541871224,8.232247285
8,Cloud,GIA,161,1.11,1.14,,,,,,,,,,,3.898720953,6.56522603,8.161886197
9,cauanzin,LOUD,515,1.12,1.13,,,,Rounds Played,KD,Rating,,,,,0.643478216,7.216322826,8.091525109
10,MrFaliN,FUT,216,1.12,1.11,,,Rounds Played,17448.98438,9.487796875,9.192140625,,,,,3.898720953,6.836516361,8.091525109
11,Victor,NRG,130,1.07,1.11,,,KD,9.487796875,0.033968109,0.023719953,,,,,1.218823444,6.022645366,8.021164021
12,SUYGETSU,NAVI,204,1.2,1.1,,,Rating,9.192140625,0.023719953,0.020199234,,,,,3.898720953,6.076903432,7.950802933
13,jawgemo,EG,459,1.11,1.1,,,,,,,,,,,1.635191701,6.076903432,7.810080758
14,d4v41,PRX,358,1.07,1.08,,,,,,,,,,,0.984143153,5.805613101,7.810080758
15,cNed,NAVI,204,1.21,1.08,,,,Rounds Played,KD,Rating,,,,,1.544347717,6.510967963,7.73971967
16,something,PRX,358,1.1,1.08,,,Rounds Played,1,0.389712749,0.489625613,,,,,3.474782364,6.022645366,7.73971967
17,s0m,NRG,130,1.07,1.08,,,KD,0.389712749,1,0.90554635,,,,,2.710178838,5.805613101,7.598997494
18,Sayaplayer,T1,129,1.12,1.08,,,Rating,0.489625613,0.90554635,1,,,,,1.544347717,6.56522603,7.598997494
19,whzy,BLG,237,1.17,1.08,,,,,,,,,,,2.710178838,5.9683873,7.598997494
20,CHICHOO,EDG,358,1.04,1.07,,,,,,,,,,,0.984143153,5.805613101,7.598997494
21,Ethan,EG,459,1,1.07,,,,mean,var,,,,,,0.976572821,6.076903432,7.598997494
22,Derke,FNC,270,1.14,1.06,,,Rounds Played,229.125,17448.98438,,,,,,1.794168672,6.348193764,7.598997494
23,MaKo,DRX,283,0.97,1.06,,,KD,0.963625,0.033968109,,,,,,2.710178838,5.642838901,7.528636406
24,C0M,EG,459,1.12,1.06,,,Rating,0.965875,0.020199234,,,,,,3.474782364,5.425806636,7.528636406
25,Yosemite,BLG,237,1.04,1.05,,,,,,,,,,,2.043989626,6.185419565,7.458275318
26,Sayf,TL,92,1.01,1.04,,,,,,,,,,,2.142403941,5.263032437,7.458275318
27,hoody,GIA,161,1,1.04,,,,,,,,,,,3.474782364,6.076903432,7.458275318
28,ardiis,NRG,130,1.13,1.04,,,,,,,,,,,1.794168672,5.642838901,7.38791423
29,Fit1nho,GIA,161,1.02,1.04,,,,,,,,,,,0.696470539,5.480064702,7.317553142
30,DaveeyS,KR†,90,1.12,1.03,,,,,,,,,,,1.218823444,5.425806636,7.317553142
31,tuyz,LOUD,515,0.96,1.02,,,,,,,,,,,0.984143153,6.131161499,7.317553142
32,Shao,NAVI,204,0.98,1.02,,,,,,,,,,,1.218823444,5.534322769,7.317553142
33,AtaKaptan,FUT,216,0.88,1.01,,,,,,,,,,,0.681329875,6.076903432,7.247192054
34,saadhak,LOUD,515,0.87,1.01,,,,,,,,,,,3.898720953,5.208774371,7.176830966
35,Zest,DRX,283,0.98,1,,,,,,,,,,,1.544347717,5.317290503,7.176830966
36,mindfreak,PRX,358,0.97,1,,,,,,,,,,,1.635191701,4.77470984,7.106469879
37,f0rsakeN,PRX,358,1,1,,,,,,,,,,,3.898720953,4.720451773,7.106469879
38,ZmjjKK,EDG,358,1.05,0.99,,,,,,,,,,,2.142403941,5.317290503,7.036108791
39,Jinggg,PRX,358,1.02,0.99,,,,,,,,,,,2.710178838,5.263032437,7.036108791
40,BuZz,DRX,283,1.02,0.99,,,,,,,,,,,2.710178838,5.425806636,7.036108791
41,Chronicle,FNC,270,0.89,0.98,,,,,,,,,,,2.710178838,5.697096968,6.965747703
42,nAts,TL,92,1.09,0.98,,,,,,,,,,,2.710178838,5.534322769,6.965747703
43,qRaxs,FUT,216,0.94,0.98,,,,,,,,,,,2.142403941,5.534322769,6.965747703
44,Boaster,FNC,270,0.9,0.98,,,,,,,,,,,2.043989626,4.828967906,6.895386615
45,rhyme,GIA,161,0.83,0.97,,,,,,,,,,,0.696470539,5.914129233,6.895386615
46,crashies,NRG,130,1.01,0.97,,,,,,,,,,,1.635191701,5.100258238,6.895386615
47,nobody,EDG,358,0.93,0.97,,,,,,,,,,,2.043989626,4.883225972,6.895386615
48,MOJJ,FUT,216,0.93,0.97,,,,,,,,,,,1.218823444,4.503419508,6.825025527
49,Munchkin,T1,129,0.93,0.96,,,,,,,,,,,0.984143153,5.480064702,6.825025527
50,stax,DRX,283,0.92,0.95,,,,,,,,,,,2.710178838,5.046000172,6.825025527
51,xeta,T1,129,0.94,0.95,,,,,,,,,,,1.635191701,5.046000172,6.825025527
